# Curated job postings (synthetic, modelled on typical Indian entry-level tech hiring; company names are fictional).
# Format: Title | Company | City | Mode | exp min-max (years) | Degrees | Domain | Salary LPA | Required (Skill:level;...) | Preferred (Skill:level;...) | Summary
# level: s = strong/advanced, m = intermediate/working, b = basic/familiar.   The build script turns each row into a free-text job description
# (with wording variations such as "RESTful services" or "JS"); the app then PARSES that text with the Job Parsing Agent.

Software Engineer Intern | Nimbus Labs | Bengaluru | Hybrid | 0-1 | B.Tech, B.E. | Software Engineering | 5 | Java:m; DSA:m; SQL:m; Git:m | Spring Boot:b; Docker:b | Join our platform team to build and ship internal tools used by hundreds of engineers.
Full Stack Intern | Vega Ventures | Hyderabad | On-site | 0-1 | B.Tech, B.E., BCA, B.Sc | Full Stack | 3.6 | JavaScript:m; HTML/CSS:m; Node.js:b; SQL:b; Git:b | React:b; MongoDB:b | Learn by shipping small features across our web stack.
Data Analyst Intern | Kiwi Analytics | Bengaluru | Hybrid | 0-1 | B.Tech, B.E., B.Sc, BCA, MCA | Data Analytics | 3.6 | SQL:m; Excel:m; Python:b; Data Visualization:b | Power BI:b; Statistics:b; Pandas:b | Help business teams answer questions with data and dashboards.
Data Analyst | Zenith Data Co. | Hyderabad | Hybrid | 0-2 | B.Tech, B.E., B.Sc, MCA | Data Analytics | 7 | SQL:s; Excel:s; Power BI:m; Statistics:m; Python:m | Tableau:b; Pandas:m; Data Visualization:m | Turn raw operational data into decision-ready dashboards.
Business Intelligence Analyst | Sahyadri Software | Pune | Hybrid | 1-3 | B.Tech, B.E., B.Sc, MCA | Data Analytics | 8 | SQL:s; Power BI:s; Excel:m; Data Warehousing:b | Tableau:b; ETL:b; Python:b | Own reporting and semantic models for finance and sales teams.
Junior Data Scientist | Quantix Systems | Bengaluru | Hybrid | 0-2 | B.Tech, B.E., M.Tech, MCA, M.Sc | Data Science & ML | 10 | Python:s; Pandas:m; NumPy:m; Statistics:m; Machine Learning:m; SQL:m; Data Visualization:m | Deep Learning:b; Big Data:b; Git:b | Prototype predictive models for demand forecasting and churn.
Machine Learning Engineer | Nimbus Labs | Hyderabad | Hybrid | 1-3 | B.Tech, B.E., M.Tech | Data Science & ML | 14 | Python:s; Machine Learning:s; Deep Learning:m; TensorFlow/PyTorch:m; Git:m; Docker:b | MLOps:b; AWS:b; NLP:b | Train and deploy ranking models for a search product.
ML Engineer Intern | BlueOrbit Tech | Remote | Remote | 0-1 | B.Tech, B.E., M.Tech, MCA | Data Science & ML | 4.8 | Python:m; Machine Learning:m; Pandas:m; NumPy:m; Statistics:b | Deep Learning:b; Git:b | Support the ML team with experiments, data preparation and evaluation.
GenAI / NLP Engineer | Mango Cloudworks | Bengaluru | Hybrid | 0-2 | B.Tech, B.E., M.Tech | Data Science & ML | 12 | Python:s; LLMs/GenAI:m; NLP:m; Machine Learning:m; REST API:b; Git:m | Docker:b; FastAPI:b; AWS:b | Build retrieval-augmented assistants for enterprise knowledge bases.
Data Engineer | Ratnam Digital | Pune | Hybrid | 1-3 | B.Tech, B.E., MCA | Data Engineering | 11 | Python:m; SQL:s; ETL:m; Big Data:m; Data Warehousing:m; Git:m | AWS:b; Message Queues:b; Docker:b; Linux:b | Build reliable pipelines that feed analytics and ML.
Cloud Engineer (AWS) | Mango Cloudworks | Hyderabad | Hybrid | 0-2 | B.Tech, B.E., MCA | Cloud & DevOps | 9 | AWS:s; Linux:m; Computer Networks:m; Bash:m; Docker:b | Terraform:b; Kubernetes:b; CI/CD:b; Python:b | Design and operate cloud infrastructure for SaaS customers.
Cloud Support Associate | Orchid Technologies | Chennai | On-site | 0-1 | B.Tech, B.E., BCA, B.Sc | Cloud & DevOps | 4.5 | AWS:b; Linux:m; Computer Networks:m | Azure:b; Bash:b | Resolve customer cloud issues and guide them through best practices.
DevOps Engineer | Quantix Systems | Bengaluru | Hybrid | 1-3 | B.Tech, B.E., MCA | Cloud & DevOps | 12 | Linux:s; Docker:s; CI/CD:s; Git:s; Kubernetes:m; AWS:m; Bash:m | Terraform:b; Monitoring:b; Python:b | Own build, release and runtime reliability for microservices.
DevOps Intern | Lotus Logic | Pune | Hybrid | 0-1 | B.Tech, B.E., BCA | Cloud & DevOps | 3.6 | Linux:m; Git:m; Docker:b; CI/CD:b | Bash:b; AWS:b | Automate builds and deployments alongside our platform team.
Junior Site Reliability Engineer | Nimbus Labs | Hyderabad | Hybrid | 0-2 | B.Tech, B.E., MCA | Cloud & DevOps | 11 | Linux:s; Python:m; Docker:m; Kubernetes:m; Monitoring:m; Computer Networks:m | Terraform:b; AWS:b; CI/CD:b | Keep production systems fast and reliable through automation and on-call practices.
QA Engineer (Manual) | Sahyadri Software | Chennai | On-site | 0-2 | B.Tech, B.E., BCA, B.Sc, MCA | QA & Testing | 4.5 | Manual Testing:s; SQL:b; API Testing:b; Agile:b | Selenium:b; Unit Testing:b | Own test planning and execution for enterprise web applications.
QA Automation Engineer | Vega Ventures | Bengaluru | Hybrid | 1-3 | B.Tech, B.E., MCA | QA & Testing | 8 | Selenium:m; Java:m; Test Automation:m; API Testing:m; Git:m; CI/CD:b | Docker:b; Python:b | Build and maintain automated regression suites.
SDET | Pixelforge Studio | Hyderabad | Hybrid | 1-3 | B.Tech, B.E., MCA | QA & Testing | 11 | Java:s; Selenium:s; API Testing:m; Test Automation:s; CI/CD:m; SQL:m; Git:m | Docker:b; Microservices:b; Unit Testing:m | Engineer test frameworks and quality gates for a fast-moving product.
QA Intern | Kiwi Analytics | Remote | Remote | 0-1 | B.Tech, B.E., BCA, B.Sc | QA & Testing | 3 | Manual Testing:m; SQL:b; Agile:b | API Testing:b; Selenium:b | Learn testing practice by validating releases with a mentor.
Android Developer | Orchid Technologies | Bengaluru | Hybrid | 0-2 | B.Tech, B.E., MCA | Mobile | 8 | Android Development:m; Kotlin:m; Java:b; REST API:m; Git:m | Unit Testing:b; CI/CD:b | Build and improve a consumer fintech Android app.
Flutter Developer | Zenith Data Co. | Remote | Remote | 0-2 | B.Tech, B.E., BCA, MCA | Mobile | 7 | Flutter:m; REST API:m; Git:m | Unit Testing:b; CI/CD:b | Ship cross platform mobile apps with a small product team.
.NET Developer | Ratnam Digital | Chennai | On-site | 1-3 | B.Tech, B.E., MCA | Backend | 8 | C#:s; ASP.NET:m; SQL:m; REST API:m; Git:m | Azure:b; Microservices:b; Unit Testing:b | Develop APIs and services for insurance workflows.
C++ Software Engineer | Quantix Systems | Bengaluru | On-site | 0-2 | B.Tech, B.E., M.Tech | Software Engineering | 12 | C++:s; DSA:s; OOP:s; Operating Systems:m; Linux:m | Design Patterns:b; Computer Networks:b | Write performance critical components for a trading platform.
Software Development Engineer (SDE-1) | Nimbus Labs | Bengaluru | Hybrid | 0-2 | B.Tech, B.E., M.Tech | Software Engineering | 16 | DSA:s; OOP:s; SQL:m; Java:m; System Design:b; Git:m | Microservices:b; AWS:b; Design Patterns:b | Build scalable product features with strong engineering fundamentals.
Associate Software Engineer | Lotus Logic | Coimbatore | On-site | 0-1 | B.Tech, B.E., BCA, MCA, B.Sc | Software Engineering | 4 | Java:m; SQL:m; DBMS:m; OOP:m; Git:b | Spring Boot:b; Agile:b | Join a training-and-deployment programme, then work on client projects.
Microservices Engineer | Mango Cloudworks | Hyderabad | Hybrid | 2-4 | B.Tech, B.E., MCA | Backend | 15 | Java:s; Spring Boot:s; Microservices:m; Docker:m; Kubernetes:b; Message Queues:m; REST API:s | AWS:b; CI/CD:b; Redis:b | Design event-driven services for a large logistics network.
Junior Security Analyst | Vega Ventures | Pune | On-site | 0-1 | B.Tech, B.E., BCA, B.Sc | Security | 5 | Cybersecurity:m; Computer Networks:m; Linux:m; Python:b | Bash:b; AWS:b | Monitor alerts and help harden systems for enterprise customers.
SQL / Database Developer | Sahyadri Software | Pune | On-site | 0-2 | B.Tech, B.E., B.Sc, BCA, MCA | Database | 6 | SQL:s; PostgreSQL:m; DBMS:s; Linux:b | Bash:b; Data Warehousing:b; Redis:b | Design schemas and tune queries for a high-volume ERP.
Web Developer | Pixelforge Studio | Vijayawada | Hybrid | 0-1 | B.Tech, B.E., BCA, B.Sc | Frontend | 3.5 | HTML/CSS:s; JavaScript:m; Bootstrap/Tailwind:m; Git:b | React:b; Next.js:b | Build marketing sites and landing pages for growing brands.
Computer Vision Intern | BlueOrbit Tech | Visakhapatnam | Hybrid | 0-1 | B.Tech, B.E., M.Tech | Data Science & ML | 4.8 | Python:m; Machine Learning:m; Computer Vision:m; Deep Learning:b; TensorFlow/PyTorch:b | NumPy:b | Help build image inspection models for manufacturing.
Python Developer Intern | Orchid Technologies | Kochi | Remote | 0-1 | B.Tech, B.E., BCA, B.Sc | Backend | 3.6 | Python:m; OOP:b; SQL:b; Git:b; DSA:b | Flask:b; REST API:b; Django:b | Automate internal workflows and build small services.
Go Backend Developer | Zenith Data Co. | Bengaluru | Hybrid | 1-3 | B.Tech, B.E., MCA | Backend | 14 | Go:m; REST API:m; PostgreSQL:m; Docker:m; Git:m | Kubernetes:b; Microservices:b; Redis:b | Build high-throughput ingestion services.
Data Science Intern | Nimbus Labs | Remote | Remote | 0-1 | B.Tech, B.E., B.Sc, M.Sc, MCA | Data Science & ML | 4.5 | Python:m; Statistics:m; Pandas:m; SQL:b; Data Visualization:b | Machine Learning:b; Excel:b | Explore datasets and support experiments for the analytics team.
